Natlanguage_query,SQL_query
"OP16 Count of genders, stratified by year and age group","SELECT
  observation_year,
  age_group,
  gender,
  COUNT(*) AS num_people
FROM
  (SELECT
    DISTINCT person_id ,
    YEAR(observation_period_start_date ) AS observation_year
   FROM cdm.observation_period
  ) AS z
INNER JOIN
  (SELECT
    person_id,
    gender ,
    CONCAT(CAST(FLOOR( age / 10 ) * 10 AS VARCHAR),' to ',CAST(( FLOOR( age / 10 ) * 10 ) + 9 AS VARCHAR)) AS age_group
   FROM
    (SELECT
      person_id                                        AS person_id,
      ISNULL( concept_name, 'MISSING' )                AS gender,
      year_of_birth                                    AS year_of_birth,
      YEAR(first_observation_date ) - year_of_birth    AS age
    FROM
      ( SELECT
          person.person_id,
          gender_concept_id,
          year_of_birth,
          MIN( observation_period_start_date ) AS first_observation_date
        FROM cdm.observation_period
        INNER JOIN cdm.person
        ON observation_period.person_id = person.person_id
        GROUP BY person.person_id, gender_concept_id, year_of_birth
      ) AS y
    LEFT OUTER JOIN cdm.concept
    ON concept_id = gender_concept_id
    WHERE year_of_birth IS NOT NULL
    ) AS w
  WHERE age >= 0
  ) AS m
  ON z.person_id = m.person_id
GROUP BY
  observation_year,
  age_group,
  gender
ORDER BY
  observation_year,
  age_group,
  gender;"
OP17 Counts of observation period records stratified by observation end date month.,"WITH observation_period_month AS
  ( SELECT
      MONTH(observation_period_end_date) AS observation_month
      FROM cdm.observation_period
  )
SELECT
  observation_month,
  count(*) AS num_observations
FROM observation_period_month
GROUP BY observation_month
ORDER BY 1;"
OP18 Counts of observation period records stratified by start of observation month,"WITH observation_period_month AS
  ( SELECT
      MONTH(observation_period_start_date) AS observation_month
      FROM cdm.observation_period
  )
SELECT
  observation_month,
  COUNT(*)                             AS num_observations
FROM observation_period_month
GROUP BY observation_month
ORDER BY 1;"
"OP19 Distribution of observation period length, stratified by age.","WITH w AS
  ( SELECT
      w_0.person_id,
      age,
      period_length
    FROM
       /* person, age */
      (SELECT
        person.person_id,
        YEAR(first_observation_date ) - year_of_birth AS age
       FROM
        ( SELECT
            person_id ,
            MIN( observation_period_start_date ) AS first_observation_date
          FROM cdm.observation_period
          GROUP BY person_id
        ) AS person_first_od
        INNER JOIN cdm.person person
        ON person_first_od.person_id = person.person_id
        WHERE year_of_birth IS NOT NULL
      ) AS w_0
    INNER JOIN  
     /* person, period_length */
      (SELECT
        person_id,
        DATEDIFF(day,DATEADD(DAY,1,observation_period_start_date), observation_period_end_date) AS period_length
       FROM cdm.observation_period
      ) AS person_date_diff  
    ON w_0.person_id = person_date_diff.person_id  
  )
SELECT
  ordered_data.age,
  COUNT(*)                                                                         AS observation_periods_cnt,
  MIN(period_length)                                                               AS min_period,
  MAX(period_length)                                                               AS max_period,
  ROUND(AVG( period_length ), 2)                                                   AS avg_period,
  ROUND(STDEV( period_length ), 1)                                                 AS STDEV_period,
  MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE period_length END) AS percentile_25,
  MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE period_length END) AS median,
  MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE period_length END) AS percentile_75
FROM
 ( SELECT age,
    period_length,
    ROW_NUMBER() OVER (PARTITION BY age ORDER BY period_length) AS  order_nr
  FROM w
) AS ordered_data
INNER JOIN
 ( SELECT age,
    COUNT(*) AS population_size
   FROM w
   GROUP BY age
) AS population_sizes
 ON ordered_data.age = population_sizes.age
GROUP BY ordered_data.age;"
"OP20 Distribution of observation period length, stratified by gender.","WITH w AS
 ( SELECT
      person_gender.person_id,
      gender,
      period_length
    FROM /* person, gender */
      ( SELECT
          person.person_id ,
          concept_name                           AS gender
        FROM
          ( SELECT
              person_id,
              MIN(observation_period_start_date) AS first_observation_date
            FROM cdm.observation_period
            GROUP BY person_id
          ) AS person_first_observation
    INNER JOIN cdm.person
    ON person_first_observation.person_id = person.person_id
    INNER JOIN cdm.concept
    ON concept.concept_id = person.gender_concept_id
    WHERE year_of_birth IS NOT NULL
      ) AS person_gender
    INNER JOIN
      ( SELECT
          person_id,
          DATEDIFF(day,observation_period_start_date,observation_period_end_date) + 1 AS period_length
        FROM cdm.observation_period
      ) AS person_period_length
    ON person_period_length.person_id = person_gender.person_id
  )

SELECT
  ordered_data.gender,
  COUNT(*)                                                                         AS observation_periods_cnt,
  MIN(period_length)                                                               AS min_period,
  MAX(period_length)                                                               AS max_period,
  ROUND(AVG( period_length ), 2)                                                   AS avg_period,
  ROUND(STDEV( period_length ), 1)                                                 AS STDEV_period,
  MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE period_length END) AS percentile_25,
  MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE period_length END) AS median,
  MIN(CASE WHEN order_nr < .50 * population_size THEN 9999 ELSE period_length END) AS percentile_75
FROM
 ( SELECT gender,
    period_length                                                                  AS period_length,
    ROW_NUMBER() OVER (PARTITION BY gender ORDER BY period_length)                 AS  order_nr
  FROM w
) AS ordered_data
INNER JOIN
 ( SELECT gender,
    COUNT(*) AS population_size
   FROM w
   GROUP BY gender
) AS population_sizes
 ON ordered_data.gender = population_sizes.gender
GROUP BY ordered_data.gender;"
O01 Find a Observation from a keyword,"SELECT DISTINCT     
  C.concept_id             AS Entity_Concept_Id,
  C.concept_name           AS Entity_Name,
  C.concept_code           AS Entity_Code,
  'Concept'                AS Entity_Type,
  C.concept_class_id       AS Entity_concept_class_id,
  C.vocabulary_id          AS Entity_vocabulary_id
FROM cdm.concept C
LEFT JOIN cdm.concept_synonym S
ON C.concept_id = S.concept_id
WHERE  C.vocabulary_id IN ('LOINC', 'UCUM')
       AND C.concept_class_id IS NOT NULL
       AND C.standard_concept = 'S'
       -- regular expression containing the input pattern
       AND LOWER(C.concept_name) LIKE LOWER('%Ability to%')
       -- Retrieve only valid concepts
       AND getdate() >= C.valid_start_date AND my_date <= C.valid_end_date;"
PP01 Continuous years with patient counts,"SELECT
  FLOOR(DATEDIFF(day,payer_plan_period_start_date,payer_plan_period_end_date)/365) AS year_int,
  COUNT(1)                                                                         AS num_patients
FROM cdm.payer_plan_period
GROUP BY floor( DATEDIFF(day,payer_plan_period_start_date, payer_plan_period_end_date) /365)
ORDER BY 1;"
PP02 Patient distribution by plan type,"SELECT
  t.plan_source_value,
  t.pat_cnt AS num_patients,
  100.00*t.pat_cnt/ (sum(t.pat_cnt) over()) perc_of_total_count
FROM 
  (SELECT 
    p.plan_source_value, 
    count(1) AS pat_cnt
   FROM cdm.payer_plan_period p
   GROUP BY p.plan_source_value
  ) AS t
ORDER BY t.plan_source_value;"
PE02 Number of patients of specific gender in the dataset,"SELECT COUNT(person_id) AS num_persons
FROM cdm.person
WHERE gender_concept_id = 8532"
PE03 Number of patients grouped by gender,"SELECT
  person.gender_concept_id,
  concept.concept_name    AS gender_name,
  COUNT(person.person_id) AS num_persons
FROM cdm.person
  JOIN cdm.concept ON person.gender_concept_id = concept.concept_id
GROUP BY person.gender_concept_id, concept.concept_name
;"
PE06 Number of patients grouped by year of birth,"SELECT
  year_of_birth,
  COUNT(person_id) AS num_persons
FROM cdm.person
GROUP BY year_of_birth
ORDER BY year_of_birth
;"
PE07 Number of patients grouped by residence state location,"SELECT
  state    AS state_abbr,
  COUNT(*) AS num_persons
FROM cdm.person
  LEFT JOIN cdm.location ON person.location_id = location.location_id
GROUP BY state
ORDER BY state
;"
PE08 Number of patients grouped by zip code of residence,"SELECT
  state,
  zip,
  COUNT(*) AS num_persons
FROM cdm.person
  LEFT JOIN cdm.location ON person.location_id = location.location_id
GROUP BY state, zip
ORDER BY state, zip
;"
PE09 Number of patients by gender stratified by year of birth,"SELECT
  gender_concept_id,
  concept_name     AS gender_name,
  year_of_birth    AS year_of_birth,
  COUNT(*)         AS num_persons
FROM cdm.person
  JOIN cdm.concept
  ON person.gender_concept_id = concept.concept_id
GROUP BY person.gender_concept_id, concept.concept_name, person.year_of_birth
ORDER BY concept.concept_name, person.year_of_birth;"
PE10 Number of patients by day of the year,"SELECT
  month_of_birth,
  day_of_birth,
  count(*) AS num_persons
FROM cdm.person
GROUP BY month_of_birth, day_of_birth
ORDER BY month_of_birth, day_of_birth
;"
PE11 Number of patients by month of birth,"SELECT
  month_of_birth AS month_of_year,
  count(*)       AS num_persons
FROM cdm.person
GROUP BY month_of_birth
ORDER BY month_of_birth
;"
PE12 Distribution of year of birth,"SELECT
  percentile_25,
  median,
  percentile_75,
  MIN(year_of_birth)                  AS minimum,
  MAX(year_of_birth)                  AS maximum,
  CAST(AVG(year_of_birth) AS INTEGER) AS mean,
  STDEV(year_of_birth)                AS stddev
FROM
  (SELECT
     MAX(CASE WHEN (percentile = 1) THEN year_of_birth END) AS percentile_25,
     MAX(CASE WHEN (percentile = 2) THEN year_of_birth END) AS median,
     MAX(CASE WHEN (percentile = 3) THEN year_of_birth END) AS percentile_75
   FROM
     (SELECT
        year_of_birth,
        births,
        /* The first sum is the sum of all the values from the first year of birth
        to the current year.  The second sum is the total of all the years of birth.
        The result is a cumulative percent of the total for each year.  You want to
        capture when the percentage goes from 24 to 25 as percentile_25, from 49 to 50
        as the median and from 74 to 75 as the percentile_75.  Multiplying by 4 then SA
        adding 1 just makes so that instead of looking at percentage, you get the whole
        number 1 if the percentage is less than 25, 2 when the percentage is between 25
        and 50, and so on.
        */
        FLOOR(CAST(SUM(births)
                   OVER (
                     ORDER BY year_of_birth
                     ROWS UNBOUNDED PRECEDING ) AS DECIMAL)
              / CAST(SUM(births)
                     OVER (
                       ORDER BY year_of_birth
                       ROWS BETWEEN UNBOUNDED PRECEDING
                       AND UNBOUNDED FOLLOWING ) AS DECIMAL)
              * 4
        ) + 1 AS percentile
      FROM -- Year with number of birthsQ
        (SELECT
           year_of_birth,
           COUNT(*) AS births
         FROM cdm.person
         GROUP BY year_of_birth
        ) t
     ) tt
   WHERE percentile <= 3
  ) percentile_table
CROSS JOIN cdm.person
GROUP BY percentile_25, median, percentile_75
;"
P02 Find a procedure from a keyword.,"SELECT DISTINCT
  C.concept_id            AS Entity_Concept_Id,
  C.concept_name          AS Entity_Name,
  C.concept_code          AS Entity_Code,
  'Concept'               AS Entity_Type,
  C.concept_class_id      AS Entity_concept_class_id,
  C.vocabulary_id         AS Entity_vocabulary_id
FROM cdm.concept C
LEFT JOIN cdm.concept_synonym S
ON C.concept_id = S.concept_id
WHERE C.vocabulary_id IN ('SNOMED','ICD9Proc','ICD10PCS','CPT4','CDT','HCPCS','SNOMED Veterinary','OPCS4')
      AND C.domain_id = 'Procedure'
      AND C.standard_concept = 'S'
      -- regular expression containing the input pattern
      AND LOWER(C.concept_name) LIKE LOWER('%Fixation of fracture%')
            OR LOWER(S.concept_synonym_name) LIKE LOWER('%Fixation of fracture%')
      -- Retrieve only valid concepts
      AND WHERE getdate() >= C.valid_start_date AND getdate() <= C.valid_end_date;"
